time,actual x,actual y,actual z,actual R,actual P,actual Y
4.4,0.433419,-0.60223,1.38372,-0.000259265,0.0336298,-1.63664
4.42,0.43333,-0.601777,1.38003,-0.000403107,0.0484915,-1.63821
4.511,0.433225,-0.601904,1.38406,-0.000242031,0.0323114,-1.63754
4.599,0.433211,-0.601751,1.38198,-0.000322775,0.0417495,-1.63804
4.687,0.433306,-0.601617,1.38108,-0.000388263,0.045285,-1.638
4.7,0.433306,-0.601617,1.38108,-0.000388263,0.045285,-1.638
4.72,0.433653,-0.602336,1.38358,-0.000247521,0.0344111,-1.6364
4.806,0.433752,-0.602327,1.38342,-0.000266027,0.0338656,-1.63639
4.895,0.433761,-0.602107,1.3823,-0.000302875,0.0400552,-1.6368
4.983,0.433892,-0.601948,1.38085,-0.000335614,0.0459938,-1.63706
5.04,0.43358,-0.602235,1.38389,-0.0002097,0.0328464,-1.63665
5.06,0.43343,-0.601512,1.38041,-0.000415868,0.0480138,-1.63834
5.151,0.433378,-0.602001,1.38421,-0.000188849,0.0326111,-1.63742
5.243,0.433433,-0.601641,1.38206,-0.000330944,0.0420762,-1.6379
5.3,0.433443,-0.601965,1.38215,-0.000314853,0.0390755,-1.63731
5.32,0.433374,-0.601725,1.38107,-0.000355494,0.0452111,-1.63811
5.411,0.433737,-0.602109,1.38389,-0.000268674,0.0326608,-1.63684
5.499,0.433711,-0.601881,1.38249,-0.000326023,0.0381731,-1.63692
5.587,0.433814,-0.602044,1.38211,-0.000331553,0.0390151,-1.63689
5.6,0.433814,-0.602044,1.38211,-0.000331553,0.0390151,-1.63689
5.62,0.434093,-0.602269,1.3836,-0.000253492,0.0344891,-1.63654
5.707,0.434097,-0.60233,1.38355,-0.000221087,0.0334717,-1.63656
5.802,0.433899,-0.60181,1.38181,-0.000341391,0.0414198,-1.63698
5.86,0.434066,-0.602232,1.38338,-0.000310965,0.0359978,-1.63707
5.88,0.433995,-0.601787,1.38121,-0.000427,0.0446944,-1.63756
5.974,0.434057,-0.602139,1.38381,-0.000266141,0.033314,-1.63722
